"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363755808.78006","1522141298.82589","1648407757.64168","1810796526.6006","2001192963.82248","2095198112.56924","2158860032.29515","2350843673.19238","2424658706.95207","2489269108.56888","2739557506.26564","2918819032.73677","2935918444.3107","3027419281.49456","3335031914.00273","3426372647.33396","3572323466.89337","3782481063.48052","3925705760.82351","3489264744.4361","3434705049.90498","3624109935.92049","3552128685.83428","3799583106.75231","3817112401.26825","3893364333.81628","3941567670.02688","4097906578.10494","4416415437.0935","4523959730.27619","3727385091.5587","4548955165.72919","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562426922026.767","582183700748.187","584359204576.628","597321664987.61","621799736341.643","663211466826.541","712533828723.89","756244572750.229","778936296283.387","812345407927.305","859659596840.919","911356610136.911","961939745229.142","1013125559646.6","1098990113126.59","1204046135929.02","1323943482079.65","1450841805487.9","1545880302988.13","1567515254170.57","1668456410533.01","1770820201234.56","1772527520669.92","1893079440495.46","2025589771419.59","2098903747115.23","2213472515884.87","2300390048727.64","2420258702862.11","2520824528638","2480832913818.36","2699058497919.17","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805683002.2132","21980384805.7144","22889600503.965","26258419343.9137","28518821097.8215","33339216566.7178","35312296534.1449","43140533617.6219","49929490244.5478","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77406520332.6189","81873098235.4889","80911742458.6898","66797918068.5774","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361438407306.509","378431238806.247","396961557873.107","402215890395.117","410502956368.56","428154005447.346","456450875635.825","484520380055.029","507610687583.391","523002525585.989","554125110824.578","596093494913.419","662008708223.156","712269875926.249","789090349395.392","861185037474.771","935260305871.839","1012246974386.55","1096372997392.39","1170222213641.43","1265388283690.47","1355466677464.86","1432228876010.43","1529825398332.21","1648385807594.85","1665819703943.52","1678673556075.49","1744086806022.47","1841650248630.78","1937493166229.78","1946108534417.12","2108537307107.51","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38665241764.817","40369082197.805","38878486297.0666","30254629086.9296","31314566201.7502","36766881813.0846","42511093340.3812","46389868661.9156","49112712707.1375","50891312281.9503","53634036387.5119","57149055625.1043","65971272039.6411","69284751704.3075","78934974922.8255","93646195456.4088","107685602885.876","126090311395.774","142863054035.451","145015238721.884","153890459472.599","162538811659.181","186124222897.173","199865642365.2","220364785384.766","204603587403.35","204874675222.88","217987313632.157","220257110789.117","222627505703.579","212693291002.493","223968329962.469","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8379849949.27799","6237344738.56104","5920987336.61097","6640762795.01695","7345719058.38832","8498893387.28002","9442065336.5516","8556035107.52073","9451851026.38818","10792578624.9517","11927761911.8775","13159425507.3736","14221986237.4723","15198978664.5557","16429520004.5125","17663248665.0743","19647966457.1019","21634098448.2042","24251544638.4109","25801737771.9275","28048430849.0874","29655531730.521","30530346334.9125","30603919227.8496","32529299302.5043","33585813506.4664","34739846844.6737","36696884467.85","38690905397.7767","41121644802.274","39830217527.4799","44464843324.881","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1504876934043.62","1673807427863.21","1797574731724.5","1893064405280.74","1988989858713.41","2085197880876.62","2220022709007.08","2358582071179.17","2517318434316.97","2604421496055.32","2841954855484.08","2953089205571.61","3008431461143.49","3195492322968.47","3583025488400.27","3895715643583.44","4247138120223.18","4551939705318.11","4899563948157.97","4951422202650.67","5247019045481.37","5552268454997.52","6028734726507.81","6143054898357.89","6194064970457.27","5713773099871.87","5642850580793.07","5953570025342.17","6256065668213.42","6460640180561.69","6250824628638.62","6753714191986.68","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159314787215.211","166119009339.021","175587931543.462","182016952057.707","198723986397.79","216460152922.28","233204512137.043","256655715882.035","260302316086.279","271631571827.219","307932754817.313","319275636775.497","332142171598.234","368504523749.508","414595768291.327","448357188727.353","507658889400.053","537981231670.507","565800168718.231","539572094916.704","554809096078.695","605575110357.323","648603907756.64","664072628840.131","696795047339.456","621558729932.59","619289363588.39","645502807620.868","669607911403.037","689139629851.357","662872646515.382","717456247602.964","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234455344931.543","264521270370.093","292023773373.283","323480141867.088","349669909411.917","346844681084.361","372715304230.914","409894951069.898","430467771287.181","421755390917.54","427907425395.381","418257187040.516","378498715336.167","420076980476.696","470302946671.598","527985868655.93","588076130259.074","658372466794.536","698223627731.022","661109513023.278","736799121185.705","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036307018234.46","1033737648272.56","942170823764.886","1083361763233","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38428345021.3797","42088513415.3132","39528882705.7066","43518226807.9485","",
